Week,Saturday Night Live: (Worldwide)
27-11-2016,25
04-12-2016,41
11-12-2016,36
18-12-2016,53
25-12-2016,23
01-01-2017,22
08-01-2017,21
15-01-2017,37
22-01-2017,62
29-01-2017,26
05-02-2017,100
12-02-2017,94
19-02-2017,43
26-02-2017,28
05-03-2017,42
12-03-2017,46
19-03-2017,27
26-03-2017,25
02-04-2017,20
09-04-2017,39
16-04-2017,49
23-04-2017,20
30-04-2017,18
07-05-2017,31
14-05-2017,48
21-05-2017,45
28-05-2017,20
04-06-2017,16
11-06-2017,15
18-06-2017,14
25-06-2017,13
02-07-2017,13
09-07-2017,13
16-07-2017,15
23-07-2017,15
30-07-2017,14
06-08-2017,16
13-08-2017,19
20-08-2017,18
27-08-2017,13
03-09-2017,12
10-09-2017,14
17-09-2017,14
24-09-2017,18
01-10-2017,40
08-10-2017,35
15-10-2017,32
22-10-2017,21
29-10-2017,21
05-11-2017,28
12-11-2017,34
19-11-2017,41
26-11-2017,18
03-12-2017,33
10-12-2017,27
17-12-2017,35
24-12-2017,24
31-12-2017,18
07-01-2018,18
14-01-2018,29
21-01-2018,26
28-01-2018,30
04-02-2018,30
11-02-2018,17
18-02-2018,14
25-02-2018,14
04-03-2018,22
11-03-2018,22
18-03-2018,29
25-03-2018,18
01-04-2018,15
08-04-2018,33
15-04-2018,31
22-04-2018,17
29-04-2018,17
06-05-2018,42
13-05-2018,27
20-05-2018,32
27-05-2018,15
03-06-2018,14
10-06-2018,13
17-06-2018,13
24-06-2018,12
01-07-2018,11
08-07-2018,13
15-07-2018,13
22-07-2018,13
29-07-2018,12
05-08-2018,12
12-08-2018,13
19-08-2018,13
26-08-2018,12
02-09-2018,13
09-09-2018,13
16-09-2018,15
23-09-2018,17
30-09-2018,83
07-10-2018,36
14-10-2018,32
21-10-2018,19
28-10-2018,18
04-11-2018,35
11-11-2018,31
18-11-2018,30
25-11-2018,17
02-12-2018,28
09-12-2018,28
16-12-2018,51
23-12-2018,26
30-12-2018,18
06-01-2019,17
13-01-2019,16
20-01-2019,29
27-01-2019,26
03-02-2019,17
10-02-2019,26
17-02-2019,31
24-02-2019,18
03-03-2019,31
10-03-2019,28
17-03-2019,20
24-03-2019,16
31-03-2019,23
07-04-2019,28
14-04-2019,30
21-04-2019,16
28-04-2019,16
05-05-2019,30
12-05-2019,22
19-05-2019,22
26-05-2019,12
02-06-2019,11
09-06-2019,12
16-06-2019,10
23-06-2019,10
30-06-2019,10
07-07-2019,10
14-07-2019,9
21-07-2019,10
28-07-2019,10
04-08-2019,10
11-08-2019,10
18-08-2019,10
25-08-2019,12
01-09-2019,11
08-09-2019,14
15-09-2019,19
22-09-2019,15
29-09-2019,38
06-10-2019,27
13-10-2019,28
20-10-2019,20
27-10-2019,26
03-11-2019,23
10-11-2019,18
17-11-2019,26
24-11-2019,31
01-12-2019,19
08-12-2019,31
15-12-2019,36
22-12-2019,60
29-12-2019,20
05-01-2020,16
12-01-2020,15
19-01-2020,16
26-01-2020,27
02-02-2020,22
09-02-2020,25
16-02-2020,17
23-02-2020,17
01-03-2020,28
08-03-2020,30
15-03-2020,17
22-03-2020,13
29-03-2020,13
05-04-2020,13
12-04-2020,31
19-04-2020,15
26-04-2020,34
03-05-2020,15
10-05-2020,24
17-05-2020,12
24-05-2020,11
31-05-2020,9
07-06-2020,9
14-06-2020,10
21-06-2020,9
28-06-2020,8
05-07-2020,8
12-07-2020,9
19-07-2020,8
26-07-2020,9
02-08-2020,8
09-08-2020,10
16-08-2020,9
23-08-2020,9
30-08-2020,10
06-09-2020,10
13-09-2020,11
20-09-2020,11
27-09-2020,15
04-10-2020,58
11-10-2020,46
18-10-2020,32
25-10-2020,39
01-11-2020,28
08-11-2020,65
15-11-2020,22
22-11-2020,19
29-11-2020,15
06-12-2020,32
13-12-2020,35
20-12-2020,41
27-12-2020,17
03-01-2021,14
10-01-2021,15
17-01-2021,15
24-01-2021,15
31-01-2021,26
07-02-2021,29
14-02-2021,24
21-02-2021,29
28-02-2021,21
07-03-2021,14
14-03-2021,13
21-03-2021,12
28-03-2021,21
04-04-2021,18
11-04-2021,21
18-04-2021,14
25-04-2021,20
02-05-2021,50
09-05-2021,75
16-05-2021,23
23-05-2021,25
30-05-2021,12
06-06-2021,10
13-06-2021,9
20-06-2021,10
27-06-2021,9
04-07-2021,8
11-07-2021,8
18-07-2021,10
25-07-2021,8
01-08-2021,9
08-08-2021,9
15-08-2021,8
22-08-2021,9
29-08-2021,8
05-09-2021,9
12-09-2021,15
19-09-2021,11
26-09-2021,14
03-10-2021,28
10-10-2021,37
17-10-2021,22
24-10-2021,26
31-10-2021,18
07-11-2021,24
14-11-2021,32
